"name","order_id"
"Large pepperoni",49
"Large Rocky Balboa",83
"Pork sandwich with ff",50
"Margarita pizza and breadsticks  Update: Oh, and a beer too",31
"Large pepperoni",47
"One large margarita pizza with breadsticks and a coke.",1
"Turkey Classic Sandwich with extra mayo and onion added to it and a Garden salad with honey mustard dressing",159
"20 oz diet coke",159
"Large pizza with mushroom on one half. Breadsticks and a coke",2
"Chicken nugget x1
Large cheese pizza with mush banana",75
"Gyro sandwich no onion
Chocolate balls!",75
"Tacos",87
"Large pizza with a coke and breadsticks",21
"One large pepperoni pizza with extra cheese. Breadsticks and 2 bottles of water",14
"Calzone",38
"Large Italian American. Cut into smaller slices. Please.",162
"Pepperoni large Update: Fries",32
"A jersey sub with pickles and onions",41
"One large margarita pizza",29
"Large cheese pizza",48
"Plain cheese pizza",36
"Large cheese pizza",39
"Large pepperoni pizza and  garlic rolls",98
"Cannoli balls",98
"Chicken Nuggets, mozzarella sticks,large Italian American, Caesar salad. 2 liter diet coke and 2 liter sprite.",78
"Fatboy pizza",102
"One order of bearded mussles",61
"And a nice set of double d tits",61
"1 small pink taco plain",88
"Pizza",92
"1 medium meaty and beefy pizza",99
"Large pepperoni",121
"Large marguerite pizza extra tomatoes. Small Greek salad with the dressing on the side. 12 lemon pepper flavor wings with a side of ranch dressing",96
"2 liter diet coke",96
"Tiramisu for 2",96
"KC sand grilled with fries",126
"Large pepperoni pizza",112
"Philly cheese steak no peppers no onions with fries.  Ham sub plain just ham and bread with chips.  Large pizza half pepperoni half onion. .",602
"I already ordered",62
"I would like a large bacon rancheros pizza and an order of chocolate balls.  Can I please have ranch instead of red dipping sauce with the pizza please?",256
"How much is that total?",256
"I have a coupon for free garlic rolls if the order is $20",256
"1 order hot wing with blue cheese one order cannoli balls .",857
"One pepperoni calzone, one small cheese pizza, two 20oz orange fantas",320
"Large pizza with green peppers, mushrooms, ground beef.",260
"Medium thin crust pepperoni pizza",262
"Small pepperoni and onion pizza",263
"Caesar salad",263
"20 oz DIET coke",263
"Greek salad st nicks large green thumb medium with chicken on half",309
"Small cheese pizza .",631
"Philly cheese steak. With No onions and No peppers. Side caesar salad instead of chips.",635
"1 large margherita pizza, 1 small cheese, 1 order of garlic rolls, and I order of French fries please",165
"Large pizza with green peppers, mushrooms, ground beef.",184
"A philly cheese sub, add japs with fries. Also, a pizza sub with chips. And a two liter of coke. Thanks!",181
